,count,mean,std,min,25%,50%,75%,max,variance,skewness,kurtosis
pył zawieszony PM10,51144.0,23.4349704755201,17.026315374585305,0.95,12.9,18.87,28.27,237.16,289.89541523483996,2.8926374729557955,14.636292018308755
pył zawieszony PM2.5,51144.0,16.10687040513061,13.8579426414635,0.57,7.9,11.8,18.9,180.4,192.0425742540924,3.069681936101474,15.206735734283392
dwutlenek azotu,51144.0,17.839294736430467,13.159815557630164,0.19,8.37,14.2,23.6,165.31,173.18074551084493,1.798779004648854,5.759513742677592
temperature_2m,51144.0,10.91320780541217,8.195301766528933,-18.0,4.4,10.7,17.2,36.7,67.16297104447224,0.057810007633302976,-0.6450991507533894
relative_humidity_2m,51144.0,74.31868840919756,16.557520083576506,20.0,63.0,77.0,88.0,100.0,274.1514713180394,-0.6442738941641414,-0.4198323128114243
wind_speed_10m,51144.0,11.89401493821367,6.236243939892677,0.0,7.4,10.8,15.2,52.3,38.89073847784813,1.0185043145734292,1.4440524272774549
wind_direction_10m,51144.0,205.92249335210386,91.3653962115199,1.0,131.0,223.0,283.0,360.0,8347.635624888015,-0.3659358873035356,-0.9461253492504795
pressure_msl,51144.0,1016.5176912247771,9.007876433789882,982.6,1011.0,1016.6,1022.3,1047.0,81.14183784642711,-0.10619065465978153,0.36709744322344307
precipitation,51144.0,0.0838944939777882,0.37287756248742565,0.0,0.0,0.0,0.0,13.9,0.13903767660656402,10.279030313458446,171.38934619963734
